,weight_2022,citax_2022,calc_grossinc_2022,weight_ref_2022,citax_ref_2022,calc_grossinc_ref_2022,weight_ref_2023,citax_ref_2023,calc_grossinc_ref_2023,weight_ref_2024,citax_ref_2024,calc_grossinc_ref_2024,weight_ref_2025,citax_ref_2025,calc_grossinc_ref_2025,weight_ref_2026,citax_ref_2026,calc_grossinc_ref_2026,weight_ref_2027,citax_ref_2027,calc_grossinc_ref_2027,weight_ref_2028,citax_ref_2028,calc_grossinc_ref_2028,ETR,ETR_ref
19,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
20,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
21,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
22,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
23,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
24,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
25,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
26,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
27,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
28,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
29,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
30,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
31,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
32,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
33,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
34,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
35,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
36,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
37,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
38,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
39,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
40,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
41,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
42,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
43,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
